NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
512,2048,,log2,0.806666667,0.193333333
512,2048,,,0.773333333,0.226666667
512,4096,2,sqrt,0.673333333,0.326666667
512,4096,2,log2,0.7,0.3
512,4096,2,,0.633333333,0.366666667
512,4096,4,sqrt,0.773333333,0.226666667
512,4096,4,log2,0.793333333,0.206666667
512,4096,4,,0.74,0.26
512,4096,8,sqrt,0.813333333,0.186666667
512,4096,8,log2,0.813333333,0.186666667
512,4096,8,,0.773333333,0.226666667
512,4096,16,sqrt,0.813333333,0.186666667
512,4096,16,log2,0.806666667,0.193333333
512,4096,16,,0.773333333,0.226666667
512,4096,32,sqrt,0.813333333,0.186666667
512,4096,32,log2,0.806666667,0.193333333
512,4096,32,,0.773333333,0.226666667
512,4096,64,sqrt,0.813333333,0.186666667
512,4096,64,log2,0.806666667,0.193333333
512,4096,64,,0.773333333,0.226666667
512,4096,,sqrt,0.813333333,0.186666667
512,4096,,log2,0.806666667,0.193333333
512,4096,,,0.773333333,0.226666667
512,8192,2,sqrt,0.68,0.32
512,8192,2,log2,0.706666667,0.293333333
512,8192,2,,0.626666667,0.373333333
512,8192,4,sqrt,0.78,0.22
512,8192,4,log2,0.786666667,0.213333333
512,8192,4,,0.74,0.26
512,8192,8,sqrt,0.813333333,0.186666667
512,8192,8,log2,0.813333333,0.186666667
512,8192,8,,0.773333333,0.226666667
512,8192,16,sqrt,0.813333333,0.186666667
512,8192,16,log2,0.82,0.18
512,8192,16,,0.78,0.22
512,8192,32,sqrt,0.813333333,0.186666667
512,8192,32,log2,0.82,0.18
512,8192,32,,0.78,0.22
512,8192,64,sqrt,0.813333333,0.186666667
512,8192,64,log2,0.82,0.18
512,8192,64,,0.78,0.22
512,8192,,sqrt,0.813333333,0.186666667
512,8192,,log2,0.82,0.18
512,8192,,,0.78,0.22
512,16384,2,sqrt,0.686666667,0.313333333
512,16384,2,log2,0.7,0.3
512,16384,2,,0.626666667,0.373333333
512,16384,4,sqrt,0.773333333,0.226666667
512,16384,4,log2,0.793333333,0.206666667
512,16384,4,,0.74,0.26
512,16384,8,sqrt,0.813333333,0.186666667
512,16384,8,log2,0.806666667,0.193333333
512,16384,8,,0.773333333,0.226666667
512,16384,16,sqrt,0.813333333,0.186666667
512,16384,16,log2,0.806666667,0.193333333
512,16384,16,,0.773333333,0.226666667
512,16384,32,sqrt,0.813333333,0.186666667
512,16384,32,log2,0.806666667,0.193333333
512,16384,32,,0.773333333,0.226666667
512,16384,64,sqrt,0.813333333,0.186666667
512,16384,64,log2,0.806666667,0.193333333
512,16384,64,,0.773333333,0.226666667
512,16384,,sqrt,0.813333333,0.186666667
512,16384,,log2,0.806666667,0.193333333
512,16384,,,0.773333333,0.226666667
512,32768,2,sqrt,0.686666667,0.313333333
512,32768,2,log2,0.7,0.3
512,32768,2,,0.626666667,0.373333333
512,32768,4,sqrt,0.773333333,0.226666667
512,32768,4,log2,0.786666667,0.213333333
512,32768,4,,0.74,0.26
512,32768,8,sqrt,0.813333333,0.186666667
512,32768,8,log2,0.806666667,0.193333333
512,32768,8,,0.773333333,0.226666667
512,32768,16,sqrt,0.813333333,0.186666667
512,32768,16,log2,0.813333333,0.186666667
512,32768,16,,0.773333333,0.226666667
512,32768,32,sqrt,0.813333333,0.186666667
512,32768,32,log2,0.813333333,0.186666667
512,32768,32,,0.773333333,0.226666667
512,32768,64,sqrt,0.813333333,0.186666667
512,32768,64,log2,0.813333333,0.186666667
512,32768,64,,0.773333333,0.226666667
512,32768,,sqrt,0.813333333,0.186666667
